ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
39	Hell	white1.bmp	Bob	dented another car in a parking lot and refused to leave his name	neg	c	False	12.194653	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Trash	white1.bmp	Bob	yelled at a waitress for being too slow	neg	u	Correct	4.089596	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Corpse	white1.bmp	Bob	assisted his wife plant a large vegetable garden in the backyard	pos	c	Correct	5.349031	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Corpse	white1.bmp	Bob	built a stained glass lamp shade for his sister’s wedding present	pos	c	Correct	3.374254	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Corpse	white1.bmp	Bob	didn’t show up as a material witness for a drug case that involved his brother	neg	u	Correct	8.342597	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Death	white1.bmp	Bob	assisted a colleague repaint his apartment	pos	c	Correct	1.767530	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Pain	white1.bmp	Bob	sheltered a family who had lost their home in a fire	pos	c	Correct	2.304377	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Death	white1.bmp	Bob	ignored someone who had an accident on the ski slope by skiing by too fast to stop	neg	u	Correct	4.402944	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Corpse	white1.bmp	Bob	stole an expensive pair of running shoes from a gym locker	neg	u	Correct	3.138279	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Ugly	white1.bmp	Bob	fixed a squeaking rocking chair for a colleague in the country	pos	c	Correct	4.668469	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Stink	white1.bmp	Bob	witnessed a car accident, but didn’t report it	neg	u	Correct	3.096972	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Hurt	white1.bmp	Bob	sent chocolate to his mother on Mother’s Day	pos	c	Correct	2.660459	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Ugly	white1.bmp	Bob	found a good watch in a park and pawned it	neg	u	Correct	3.313536	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Stink	white1.bmp	Bob	scared a woman who was walking down a dark street alone	neg	u	Correct	2.660182	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Trash	white1.bmp	Bob	gave his seat on the bus to an older person	pos	c	Correct	3.361644	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Trash	white1.bmp	Bob	rode his bike to work every day to cut down on pollution and gas consumption	pos	c	Correct	3.346261	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Spider	white1.bmp	Bob	stole money and jewelry from relatives he was living with	neg	u	Correct	6.075896	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Stink	white1.bmp	Bob	assisted a food bank deliver turkeys to families in need on Thanksgiving	pos	c	Correct	2.775554	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Hurt	white1.bmp	Bob	cheated during a poker game	neg	u	Correct	2.904432	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Death	white1.bmp	Bob	asked for spare change from a couple even though he had money	neg	u	Correct	2.475703	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Hurt	white1.bmp	Bob	sold a pick-up with a cracked engine to an unsuspecting couple for $400	neg	u	Correct	4.719880	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Hurt	white1.bmp	Bob	spent several hours a week counseling delinquents	pos	c	Correct	3.130391	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	War	white1.bmp	Bob	snatched a purse that an elderly woman set down on the bus	neg	u	Correct	1.892228	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	War	white1.bmp	Bob	stole merchandise from his work	neg	u	Correct	1.968110	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Trash	white1.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	c	Correct	5.384327	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Stink	white1.bmp	Bob	works 40 hours a week in an effort to see himself through school	pos	c	Correct	3.184188	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Spider	white1.bmp	Bob	went to the hospital to visit his neighbor	pos	c	Correct	7.809160	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Stink	white1.bmp	Bob	flew from Dayton to Los Angeles to visit his sister who was blue	pos	c	Correct	6.567952	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Corpse	white1.bmp	Bob	fell asleep at the wheel and hit an oncoming car	neg	u	Correct	3.376482	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Trash	white1.bmp	Bob	ran into a parked car while driving under the influence of liquor	neg	u	Correct	2.631591	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Stink	white1.bmp	Bob	supports his neighbors with yardwork	pos	c	Correct	2.150372	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Hurt	white1.bmp	Bob	taught a neighbor child how to ride a bike	pos	c	Correct	2.152079	1	1	pos	MacMini2.local	2017-09-21_14.57.49.981061
39	Trash	white1.bmp	Bob	ran over a dog while speeding through a residental neighborhood	neg	u	Correct	2.033633	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
39	Death	white1.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	u	Correct	5.623829	1	1	neg	MacMini2.local	2017-09-21_14.57.49.981061
