ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
26	Gift	bob1.bmp	Bob	worked with a classmate review for a test	pos	c	False	10.203445	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
26	Kiss	bob1.bmp	Bob	avoided other people in order not to give his cold to them	pos	c	False	4.698001	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
26	Kiss	bob1.bmp	Bob	fell asleep at the wheel and hit an oncoming car	neg	u	False	4.765963	1	2	neg	MacMini4.local	2017-09-14_17.23.31.777410
26	Flower	bob1.bmp	Bob	gave a hitchhiker a ride to a shelter	pos	c	False	2.630739	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
26	Kitten	bob1.bmp	Bob	stole a book from the college book store	neg	c	Correct	3.341400	1	2	neg	MacMini4.local	2017-09-14_17.23.31.777410
26	Puppy	bob1.bmp	Bob	assisted his roommate move into a new house	pos	u	Correct	3.182526	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
26	Happy	bob1.bmp	Bob	refused to aid his child fix his bike	neg	c	Correct	4.639255	1	2	neg	MacMini4.local	2017-09-14_17.23.31.777410
26	Pretty	bob1.bmp	Bob	taught his brother how to swim	pos	u	Correct	2.916497	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
26	Gift	bob1.bmp	Bob	spent two years as a Vista volunteer to work in the slums of Chicago as a medical aide	pos	u	Correct	4.070625	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
26	Kitten	bob1.bmp	Bob	kicked his dog for eating some cheese left near the edge of the table	neg	c	Correct	3.323136	1	2	neg	MacMini4.local	2017-09-14_17.23.31.777410
26	Smile	bob1.bmp	Bob	robbed a 7-11 store	neg	c	Correct	3.581996	1	2	neg	MacMini4.local	2017-09-14_17.23.31.777410
26	Gift	bob1.bmp	Bob	left a burner on when leaving his house	neg	c	Correct	2.750405	1	2	neg	MacMini4.local	2017-09-14_17.23.31.777410
26	Kiss	bob1.bmp	Bob	offered to share an umbrella with a stranger during a downpour	pos	u	Correct	3.167964	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
26	Flower	bob1.bmp	Bob	fought against discriminatory law that made renting difficult for minorities	pos	u	Correct	5.608720	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
26	Flower	bob1.bmp	Bob	parked his car in a space that was marked for a disabled person	neg	c	Correct	5.703293	1	2	neg	MacMini4.local	2017-09-14_17.23.31.777410
26	Smile	bob1.bmp	Bob	keeps things down when children are sleeping	pos	u	Correct	2.563180	1	2	pos	MacMini4.local	2017-09-14_17.23.31.777410
