ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
22	Hell	white5.bmp	Bob	walked out of a restaurant without paying the bill	neg	u	Correct	6.120626	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	War	white5.bmp	Bob	yelled at an eight-year-old boy for riding his bike on the sidewalk	neg	u	Correct	5.074108	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	Pain	white5.bmp	Bob	ran over a child's bike with his car	neg	u	Correct	2.510643	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	Stink	white5.bmp	Bob	called in sick for work when he was well	neg	c	False	4.177249	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	Hell	white5.bmp	Bob	assisted a colleague move into an apartment	pos	c	Correct	4.401843	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Ugly	white5.bmp	Bob	shot a song bird with his .22-caliber rifle	neg	c	False	3.729387	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	Pain	white5.bmp	Bob	shut a neighbors' door when they accidentally left it open	pos	c	Correct	2.763118	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Stink	white5.bmp	Bob	gives presents to his mother	pos	c	Correct	2.964658	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Pain	white5.bmp	Bob	had his driver’s license suspended for reckless driving	neg	u	Correct	2.901177	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	Corpse	white5.bmp	Bob	drove to Colorado to visit his parents	pos	c	Correct	1.864746	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Ugly	white5.bmp	Bob	is a reading specialist who volunteered to teach reading in a free school	pos	c	Correct	4.037338	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	War	white5.bmp	Bob	﻿administered first aid to a hit-and-run victim while waiting for an ambulance to arrive	pos	c	Correct	3.770022	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Trash	white5.bmp	Bob	built a stained glass lamp shade for his sister’s wedding present	pos	c	Correct	3.346692	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Hurt	white5.bmp	Bob	tells those close to him that he treasures them	pos	c	Correct	2.931879	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Hell	white5.bmp	Bob	scared a woman who was walking down a dark street alone	neg	u	Correct	3.205866	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	Hurt	white5.bmp	Bob	assisted some neighboring campers set up their tent	pos	c	Correct	3.364508	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Stink	white5.bmp	Bob	regularly reads to blind people	pos	c	Correct	2.198027	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Spider	white5.bmp	Bob	lent money to a colleague in financial straits	pos	c	Correct	3.541230	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Ugly	white5.bmp	Bob	stole a parking place by driving into it from behind while someone else was backing into it	neg	u	Correct	4.118191	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	Death	white5.bmp	Bob	pulled off the highway to assist a driver whose car had stalled	pos	c	Correct	3.272499	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Spider	white5.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	c	Correct	3.260054	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Pain	white5.bmp	Bob	bought items at a discount store and returned them for a refund at a different store with higher prices	neg	u	Correct	5.176018	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
22	Ugly	white5.bmp	Bob	wrote letters to his congressperson supporting equal rights for all	pos	c	Correct	2.671946	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Hurt	white5.bmp	Bob	found an expensive briefcase on the street and placed an ad in the newspaper to locate its owner	pos	c	Correct	7.315311	1	1	pos	MacMini4.local	2017-09-14_16.20.04.202265
22	Death	white5.bmp	Bob	failed to report to the police a neighbor beating his wife	neg	u	Correct	4.685972	1	1	neg	MacMini4.local	2017-09-14_16.20.04.202265
