ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
40	War	bob1.bmp	Bob	cleaned up the yards of old people and painted their houses for free	pos	u	False	4.005068	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Death	bob1.bmp	Bob	hit a dog in the street and drove away without stopping to notify the owner	neg	c	False	5.657536	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	War	bob1.bmp	Bob	gives directions to a driver who is lost	pos	c	Correct	2.942791	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Trash	bob1.bmp	Bob	drove to Colorado to visit his parents	pos	c	Correct	2.360265	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Corpse	bob1.bmp	Bob	set off a fire alarm as a practical joke	neg	u	Correct	1.776745	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Corpse	bob1.bmp	Bob	slapped his child for spilling a glass of milk	neg	u	Correct	3.176634	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Ugly	bob1.bmp	Bob	spent two years working in the slums of Chicago at a strip club	neg	c	False	1.744926	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Trash	bob1.bmp	Bob	sells vacuum cleaners door-to-door for three times the department store price	neg	u	Correct	3.825501	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Hurt	bob1.bmp	Bob	tells those close to him that he treasures them	pos	c	Correct	1.863431	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	War	bob1.bmp	Bob	stood on a street corner and insulted the people who walked by	neg	u	Correct	2.668188	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Hell	bob1.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	c	Correct	2.488949	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Pain	bob1.bmp	Bob	gave his seat on the bus to an older person	pos	u	False	1.516076	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Stink	bob1.bmp	Bob	stole merchandise from his work	neg	u	Correct	1.879595	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Hell	bob1.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	u	Correct	4.011026	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Hell	bob1.bmp	Bob	supported an acquaintance fix up his house so he could afford a better house for his family	pos	c	Correct	1.888808	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Death	bob1.bmp	Bob	sheltered a family who had lost their home in a fire	pos	c	Correct	1.444164	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Pain	bob1.bmp	Bob	ran over a child's bike with his car	neg	u	Correct	1.154070	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	War	bob1.bmp	Bob	defaced a large rock with spray paint in a public park	neg	u	Correct	2.283572	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Hurt	bob1.bmp	Bob	cut into the front of a gas line	neg	u	Correct	1.560247	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	War	bob1.bmp	Bob	ignored a hit-and-run accident in which a person was thrown from a car	neg	u	Correct	2.000924	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Trash	bob1.bmp	Bob	let an older person get in front of him in a grocery checkout line	pos	c	Correct	2.320243	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Death	bob1.bmp	Bob	﻿administered first aid to a hit-and-run victim while waiting for an ambulance to arrive	pos	c	Correct	1.656737	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
40	Pain	bob1.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	u	Correct	1.901537	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Hurt	bob1.bmp	Bob	played his transistor radio full blast late at night in a campground	neg	u	Correct	2.184987	1	1	neg	MacMini1.local	2017-09-21_16.01.19.887473
40	Ugly	bob1.bmp	Bob	fought against discriminatory law that made renting difficult for minorities	pos	u	False	2.120971	1	1	pos	MacMini1.local	2017-09-21_16.01.19.887473
