ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
51	Pain	white5.bmp	Bob	dented another car in a parking lot and refused to leave his name	neg	u	Correct	16.094385	1	1	neg	MacMini2.local	2017-09-25_09.55.01.311055
51	Stink	white5.bmp	Bob	broke in a locker and stole $400 worth of ski equipment	neg	u	Correct	4.969420	1	1	neg	MacMini2.local	2017-09-25_09.55.01.311055
51	Corpse	white5.bmp	Bob	turned in a work assignment on time	pos	u	False	2.298053	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Corpse	white5.bmp	Bob	loudly made racist statements while in a tavern	neg	u	Correct	2.125282	1	1	neg	MacMini2.local	2017-09-25_09.55.01.311055
51	Hurt	white5.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	u	Correct	1.863291	1	1	neg	MacMini2.local	2017-09-25_09.55.01.311055
51	Hurt	white5.bmp	Bob	overcharged customers who bought gas at a filling station	neg	c	False	3.179895	1	1	neg	MacMini2.local	2017-09-25_09.55.01.311055
51	Pain	white5.bmp	Bob	fixed a squeaking rocking chair for a colleague in the country	pos	c	Correct	2.460017	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Ugly	white5.bmp	Bob	does not forget to feed the birds every morning	pos	c	Correct	1.488471	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Stink	white5.bmp	Bob	found an expensive briefcase on the street and placed an ad in the newspaper to locate its owner	pos	c	Correct	3.108032	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Hell	white5.bmp	Bob	bought groceries for an elderly lady next door who was ill	pos	c	Correct	0.502481	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Hurt	white5.bmp	Bob	let small children play in his orchard because there was no park nearby	pos	c	Correct	0.945809	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Ugly	white5.bmp	Bob	writes his parents at least once every two weeks	pos	c	Correct	1.955799	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Spider	white5.bmp	Bob	took care of the neighbors’ pets while they were gone	pos	c	Correct	0.756600	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Death	white5.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	c	Correct	4.148542	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Hurt	white5.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	c	Correct	3.270018	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
51	Spider	white5.bmp	Bob	fought against discriminatory law that made renting difficult for minorities	pos	c	Correct	0.746429	1	1	pos	MacMini2.local	2017-09-25_09.55.01.311055
